accelerator,model,pe_x,pe_y,total_cycle,pe_array_area_mm2,weight_buffer_area_mm2,input_buffer_area_mm2,total_area_mm2,total_macs,dram_energy_mJ,onchip_energy_mJ,total_energy_mJ,edp,log_file
BitMod (Bit-Serial),facebook/opt-2.7b,6,16,220795296.0,0.087456,0.46746,0.524382,0.087456,,16307.85,25362.1,41669.95,9200528629345.69,test_bitmod_x6_y16.log
BitMod (Bit-Serial),meta-llama/Llama-2-7b-hf,6,16,551156448.0,0.087456,0.46746,0.524382,0.087456,,40756.81,63318.95,104075.76,57362023498621.43,test_bitmod_x6_y16.log
Baseline (FP16),gpt2-large,24,16,5456734.0,0.361728,0.520647,0.485785,0.361728,,1604.79,960.9,2565.69,14000287415.18,test_baseline_x24_y16.log
Baseline (FP16),gpt2-xl,24,16,6867595.0,0.361728,0.520647,0.485785,0.361728,,2023.31,1218.74,3242.06,22265150123.28,test_baseline_x24_y16.log
Baseline (FP16),microsoft/phi-2,24,16,220404076.0,0.361728,0.520647,0.485785,0.361728,,65179.13,38267.36,103446.5,22800029823614.99,test_baseline_x24_y16.log
Baseline (FP16),facebook/opt-2.7b,24,16,220206503.0,0.361728,0.520647,0.485785,0.361728,,65120.7,38232.88,103353.58,22759130893600.4,test_baseline_x24_y16.log
Baseline (FP16),meta-llama/Llama-2-7b-hf,24,16,549799110.0,0.361728,0.520647,0.485785,0.361728,,162619.32,95357.7,257977.01,141835532718079.1,test_baseline_x24_y16.log
OLIVE (Non-uniform Quantization),gpt2-large,88,16,2777338.0,0.321024,0.48244,0.467155,0.321024,,800.72,744.34,1545.05,4291130367.88,test_olive_x88_y16.log
OLIVE (Non-uniform Quantization),gpt2-xl,88,16,3510287.0,0.321024,0.48244,0.467155,0.321024,,1009.24,964.81,1974.05,6929487658.74,test_olive_x88_y16.log
OLIVE (Non-uniform Quantization),microsoft/phi-2,88,16,110252351.0,0.321024,0.48244,0.467155,0.321024,,32584.07,27671.9,60255.96,6643361700813.82,test_olive_x88_y16.log
OLIVE (Non-uniform Quantization),facebook/opt-2.7b,88,16,110153796.0,0.321024,0.48244,0.467155,0.321024,,32555.05,27648.91,60203.96,6631695269528.44,test_olive_x88_y16.log
OLIVE (Non-uniform Quantization),meta-llama/Llama-2-7b-hf,88,16,274954917.0,0.321024,0.48244,0.467155,0.321024,,81291.89,68068.61,149360.5,41067405136294.34,test_olive_x88_y16.log
BitMod (Bit-Serial),gpt2-large,112,16,1424247.0,1.632512,0.505179,0.524382,1.632512,,417.58,539.88,957.45,1363651510.31,test_bitmod_x112_y16.log
BitMod (Bit-Serial),gpt2-xl,112,16,1847650.0,1.632512,0.505179,0.524382,1.632512,,539.8,705.91,1245.72,2301652770.39,test_bitmod_x112_y16.log
BitMod (Bit-Serial),microsoft/phi-2,112,16,55290440.0,1.632512,0.505179,0.524382,1.632512,,16322.37,19181.61,35503.98,1963030857814.36,test_bitmod_x112_y16.log
BitMod (Bit-Serial),facebook/opt-2.7b,112,16,55241069.0,1.632512,0.505179,0.524382,1.632512,,16307.85,19163.2,35471.05,1959458756743.49,test_bitmod_x112_y16.log
BitMod (Bit-Serial),meta-llama/Llama-2-7b-hf,112,16,137830050.0,1.632512,0.505179,0.524382,1.632512,,40756.81,47901.56,88658.37,12219787836675.99,test_bitmod_x112_y16.log
Baseline (FP16),gpt2-large,92,16,5456734.0,1.386624,0.564391,0.485785,1.386624,,1604.79,955.18,2559.97,13969069509.21,test_baseline_x92_y16.log
Baseline (FP16),gpt2-xl,92,16,6865291.0,1.386624,0.564391,0.485785,1.386624,,2023.31,1239.23,3262.55,22398339774.93,test_baseline_x92_y16.log
Baseline (FP16),microsoft/phi-2,92,16,220404076.0,1.386624,0.564391,0.485785,1.386624,,65179.13,34885.67,100064.8,22054689947622.99,test_baseline_x92_y16.log
Baseline (FP16),facebook/opt-2.7b,92,16,220206503.0,1.386624,0.564391,0.485785,1.386624,,65120.7,34854.97,99975.67,22015293563102.08,test_baseline_x92_y16.log
Baseline (FP16),meta-llama/Llama-2-7b-hf,92,16,549799110.0,1.386624,0.564391,0.485785,1.386624,,162619.32,86963.22,249582.54,137220259552150.53,test_baseline_x92_y16.log
BitMod (Bit-Serial),gpt2-large,36,16,1424247.0,0.524736,0.491009,0.524382,0.524736,,417.58,502.4,919.98,1310281876.4,test_bitmod_x36_y16.log
BitMod (Bit-Serial),gpt2-xl,36,16,1847650.0,0.524736,0.491009,0.524382,0.524736,,539.8,638.76,1178.57,2177577663.51,test_bitmod_x36_y16.log
BitMod (Bit-Serial),microsoft/phi-2,36,16,55290440.0,0.524736,0.491009,0.524382,0.524736,,16322.37,19763.49,36085.86,1995203331867.86,test_bitmod_x36_y16.log
BitMod (Bit-Serial),facebook/opt-2.7b,36,16,55241069.0,0.524736,0.491009,0.524382,0.524736,,16307.85,19745.8,36053.65,1991642071619.43,test_bitmod_x36_y16.log
BitMod (Bit-Serial),meta-llama/Llama-2-7b-hf,36,16,137830050.0,0.524736,0.491009,0.524382,0.524736,,40756.81,48935.4,89692.21,12362281406651.5,test_bitmod_x36_y16.log
MixPosit (Bit-Serial + Mixed-Precision),gpt2-large,68,16,1480797.0,0.302464,0.518535,0.524382,0.302464,,427.64,314.01,741.66,1098243372.22,test_flexposit_x68_y16.log
MixPosit (Bit-Serial + Mixed-Precision),gpt2-xl,68,16,1896395.0,0.302464,0.518535,0.524382,0.302464,,551.98,404.48,956.46,1813825572.19,test_flexposit_x68_y16.log
MixPosit (Bit-Serial + Mixed-Precision),microsoft/phi-2,68,16,60744782.0,0.302464,0.518535,0.524382,0.302464,,17906.17,12613.05,30519.22,1853883180372.59,test_flexposit_x68_y16.log
MixPosit (Bit-Serial + Mixed-Precision),facebook/opt-2.7b,68,16,66226156.0,0.302464,0.518535,0.524382,0.302464,,19549.9,13675.72,33225.62,2200405080539.23,test_flexposit_x68_y16.log
MixPosit (Bit-Serial + Mixed-Precision),meta-llama/Llama-2-7b-hf,68,16,172147670.0,0.302464,0.518535,0.524382,0.302464,,50899.24,35452.46,86351.7,14865243646508.19,test_flexposit_x68_y16.log
Baseline (FP16),gpt2-large,74,16,5456734.0,1.115328,0.528669,0.485785,1.115328,,1604.79,943.83,2548.62,13907125886.68,test_baseline_x74_y16.log
Baseline (FP16),gpt2-xl,74,16,6865291.0,1.115328,0.528669,0.485785,1.115328,,2023.31,1216.67,3239.99,22243440494.85,test_baseline_x74_y16.log
Baseline (FP16),microsoft/phi-2,74,16,220404076.0,1.115328,0.528669,0.485785,1.115328,,65179.13,35372.09,100551.22,22161899249961.0,test_baseline_x74_y16.log
Baseline (FP16),facebook/opt-2.7b,74,16,220206503.0,1.115328,0.528669,0.485785,1.115328,,65120.7,35342.03,100462.73,22122546966286.74,test_baseline_x74_y16.log
Baseline (FP16),meta-llama/Llama-2-7b-hf,74,16,549799110.0,1.115328,0.528669,0.485785,1.115328,,162619.32,87975.25,250594.57,137776672832848.64,test_baseline_x74_y16.log
BitMod (Bit-Serial),gpt2-large,76,16,1424247.0,1.107776,0.542996,0.524382,1.107776,,417.58,516.14,933.72,1329841929.89,test_bitmod_x76_y16.log
BitMod (Bit-Serial),gpt2-xl,76,16,1847650.0,1.107776,0.542996,0.524382,1.107776,,539.8,666.6,1206.4,2229013857.31,test_bitmod_x76_y16.log
BitMod (Bit-Serial),microsoft/phi-2,76,16,55290440.0,1.107776,0.542996,0.524382,1.107776,,16322.37,19191.18,35513.56,1963560169500.47,test_bitmod_x76_y16.log
BitMod (Bit-Serial),facebook/opt-2.7b,76,16,55241069.0,1.107776,0.542996,0.524382,1.107776,,16307.85,19174.44,35482.29,1960079699507.78,test_bitmod_x76_y16.log
BitMod (Bit-Serial),meta-llama/Llama-2-7b-hf,76,16,137830050.0,1.107776,0.542996,0.524382,1.107776,,40756.81,47572.79,88329.6,12174473426265.8,test_bitmod_x76_y16.log
OLIVE (Non-uniform Quantization),gpt2-large,74,16,2777338.0,0.269952,0.539642,0.467155,0.269952,,800.72,733.05,1533.77,4259795825.95,test_olive_x74_y16.log
OLIVE (Non-uniform Quantization),gpt2-xl,74,16,3510287.0,0.269952,0.539642,0.467155,0.269952,,1009.24,945.41,1954.65,6861375178.35,test_olive_x74_y16.log
OLIVE (Non-uniform Quantization),microsoft/phi-2,74,16,110252351.0,0.269952,0.539642,0.467155,0.269952,,32584.07,27428.32,60012.38,6616506254497.01,test_olive_x74_y16.log
OLIVE (Non-uniform Quantization),facebook/opt-2.7b,74,16,110153796.0,0.269952,0.539642,0.467155,0.269952,,32555.05,27405.03,59960.09,6604831272389.08,test_olive_x74_y16.log
OLIVE (Non-uniform Quantization),meta-llama/Llama-2-7b-hf,74,16,274954917.0,0.269952,0.539642,0.467155,0.269952,,81291.89,68213.84,149505.73,41107335859188.47,test_olive_x74_y16.log
MixPosit (Bit-Serial + Mixed-Precision),gpt2-large,106,16,1480797.0,0.471488,0.597357,0.524382,0.471488,,427.64,324.14,751.78,1113238829.08,test_flexposit_x106_y16.log
MixPosit (Bit-Serial + Mixed-Precision),gpt2-xl,106,16,1896395.0,0.471488,0.597357,0.524382,0.471488,,551.98,423.14,975.12,1849206488.09,test_flexposit_x106_y16.log
MixPosit (Bit-Serial + Mixed-Precision),microsoft/phi-2,106,16,60744782.0,0.471488,0.597357,0.524382,0.471488,,17906.17,12603.37,30509.54,1853295655169.81,test_flexposit_x106_y16.log
MixPosit (Bit-Serial + Mixed-Precision),facebook/opt-2.7b,106,16,66226156.0,0.471488,0.597357,0.524382,0.471488,,19549.9,13678.11,33228.01,2200563201377.41,test_flexposit_x106_y16.log
